85.00255	0.1071	0
84.7705	0.1445	0
84.0769	0.2567	0
82.92855	0.4403	0
81.33905	0.6902	0
79.3254	0.9996	0
76.9097	1.3617	0
74.11745	1.76715	0
70.9801	2.20745	0
67.53165	2.67325	0
63.8095	3.1552	0
59.85445	3.64225	0
55.70985	4.1259	0
51.4216	4.59425	0
47.03475	5.0354	0
42.59945	5.43745	0
38.16245	5.78935	0
33.77305	6.0775	0
29.47885	6.2917	0
25.3266	6.4209	0
21.36135	6.45745	0
17.6273	6.3954	0
14.1134	6.222	0
10.8222	5.87775	0
7.8455	5.32525	0
5.27255	4.5747	0
3.1705	3.6754	0
1.58525	2.6996	0
0.5338	1.7255	0
0.01275	0.8126	0
0	0	0
0.45305	-0.6732	0
1.32345	-1.19085	0
2.57465	-1.5895	0
4.17775	-1.9108	0
6.11575	-2.1981	0
8.3878	-2.4837	0
11.0109	-2.7897	0
14.01055	-3.111	0
17.41055	-3.4136	0
21.13865	-3.64055	0
25.10135	-3.7791	0
29.2553	-3.8335	0
33.5546	-3.8097	0
37.9525	-3.71535	0
42.40055	-3.5598	0
46.84945	-3.35325	0
51.2516	-3.10675	0
55.556	-2.82795	0
59.71845	-2.52875	0
63.6905	-2.21595	0
67.4305	-1.89975	0
70.89595	-1.5861	0
74.0503	-1.2852	0
76.857	-1.003	0
79.28715	-0.748	0
81.31185	-0.52785	0
82.91155	-0.3485	0
84.06585	-0.2159	0
84.7637	-0.1343	0
84.99745	-0.1071	0
