373	0.0711	0
370.75	0.4536	0
368.5	0.8145	0
364	1.47555	0
359.5	2.061	0
355	2.5668	0
350.5	2.97765	0
346	3.2643	0
341.5	3.3759	0
339.25	3.34215	0
337	3.2274	0
334.75	3.0069	0
332.5	2.63385	0
331.375	2.3625	0
330.25	1.99935	0
329.125	1.4706	0
328.5625	1.06515	0
328	0	0
328.5625	-1.06515	0
329.125	-1.4706	0
330.25	-1.99935	0
331.375	-2.3625	0
332.5	-2.63385	0
334.75	-3.0069	0
337	-3.2274	0
339.25	-3.34215	0
341.5	-3.3759	0
346	-3.2643	0
350.5	-2.97765	0
355	-2.5668	0
359.5	-2.061	0
364	-1.47555	0
368.5	-0.8145	0
370.75	-0.4536	0
373	-0.0711	0
